Year,Month,sido,gugun,psg_car,van,truck,sp_car
2021,1,강원특별자치도,강릉시,89381,3710,19060,618
2021,1,강원특별자치도,고성군,10190,607,3829,58
2021,1,강원특별자치도,동해시,37532,1679,7365,296
2021,1,강원특별자치도,삼척시,25169,1152,6938,106
2021,1,강원특별자치도,속초시,32258,1543,5900,193
2021,1,강원특별자치도,양구군,8449,435,3361,47
2021,1,강원특별자치도,양양군,11530,518,4133,74
2021,1,강원특별자치도,영월군,14506,910,6305,112
2021,1,강원특별자치도,원주시,145983,5827,27521,677
2021,1,강원특별자치도,인제군,13198,650,4992,84
2021,1,강원특별자치도,정선군,14165,840,6433,102
2021,1,강원특별자치도,철원군,16529,960,7076,79
2021,1,강원특별자치도,춘천시,113312,4567,20993,683
2021,1,강원특별자치도,태백시,16302,940,3612,119
2021,1,강원특별자치도,평창군,16694,982,8562,95
2021,1,강원특별자치도,홍천군,26416,1840,11907,188
2021,1,강원특별자치도,화천군,9505,475,3332,66
2021,1,강원특별자치도,횡성군,17971,1059,8366,120
2021,1,경기도,가평군,23285,1552,6639,137
2021,1,경기도,고양시,373596,12420,47259,1072
2021,1,경기도,과천시,22021,708,2151,57
2021,1,경기도,광명시,87603,3611,12913,258
2021,1,경기도,광주시,156604,8594,33799,759
2021,1,경기도,구리시,60851,2332,10101,259
2021,1,경기도,군포시,87072,2840,13365,434
2021,1,경기도,김포시,189021,7760,32513,1120
2021,1,경기도,남양주시,246479,10082,47070,988
2021,1,경기도,동두천시,31614,1619,6079,127
2021,1,경기도,부천시,254563,11144,40950,918
2021,1,경기도,성남시,304774,10196,30668,954
2021,1,경기도,수원시,461085,17828,49363,1643
2021,1,경기도,시흥시,203610,7799,41494,732
2021,1,경기도,안산시,250028,12808,46849,1161
2021,1,경기도,안성시,82060,4057,21799,1092
2021,1,경기도,안양시,178041,7258,23955,517
2021,1,경기도,양주시,86585,4544,19298,454
2021,1,경기도,양평군,46927,2747,12501,227
2021,1,경기도,여주시,47483,3024,19498,610
2021,1,경기도,연천군,16878,1045,10809,613
2021,1,경기도,오산시,93795,3860,11977,282
2021,1,경기도,용인시,419563,13275,46173,1436
2021,1,경기도,의왕시,57239,1847,8158,415
2021,1,경기도,의정부시,141241,6162,20462,567
2021,1,경기도,이천시,92127,4434,21878,755
2021,1,경기도,파주시,180907,8759,33509,568
2021,1,경기도,평택시,242824,10306,39842,1342
2021,1,경기도,포천시,68209,4147,22695,603
2021,1,경기도,하남시,104345,3326,17115,329
2021,1,경기도,화성시,378471,14257,63376,1446
2021,1,경상남도,거제시,91952,3920,12300,352
2021,1,경상남도,거창군,22487,1169,9239,233
2021,1,경상남도,고성군,18621,1004,7359,149
2021,1,경상남도,김해시,229011,8079,44204,1029
2021,1,경상남도,남해군,13283,781,6322,71
2021,1,경상남도,밀양시,40910,1893,16363,765
2021,1,경상남도,사천시,44664,1964,11227,247
2021,1,경상남도,산청군,12593,701,7506,261
2021,1,경상남도,양산시,138623,5713,28653,2034
2021,1,경상남도,의령군,9644,544,5022,133
2021,1,경상남도,진주시,136675,5170,29141,711
2021,1,경상남도,창녕군,24464,1339,10476,173
2021,1,경상남도,창원시,521719,15062,62828,1769
2021,1,경상남도,통영시,42379,2335,9283,178
2021,1,경상남도,하동군,15860,738,7969,129
2021,1,경상남도,함안군,47909,1633,10505,415
2021,1,경상남도,함양군,12679,699,6500,82
2021,1,경상남도,합천군,14740,790,8342,106
2021,1,경상북도,경산시,111918,3941,25525,635
2021,1,경상북도,경주시,112750,4857,27675,706
2021,1,경상북도,고령군,13492,792,6936,102
2021,1,경상북도,구미시,183307,6882,29467,761
2021,1,경상북도,군위군,9284,496,5416,100
2021,1,경상북도,김천시,55349,2572,18115,288
2021,1,경상북도,문경시,25822,1535,10136,153
2021,1,경상북도,봉화군,10754,563,6938,71
2021,1,경상북도,상주시,34971,2089,17816,290
2021,1,경상북도,성주군,19064,943,11774,249
2021,1,경상북도,안동시,61722,2830,20516,427
2021,1,경상북도,영덕군,12425,767,6143,64
2021,1,경상북도,영양군,5724,360,3790,30
2021,1,경상북도,영주시,39621,2001,15381,318
2021,1,경상북도,영천시,42215,2198,17377,491
2021,1,경상북도,예천군,21077,927,8362,128
2021,1,경상북도,울릉군,3926,437,1381,24
2021,1,경상북도,울진군,19182,845,6627,128
2021,1,경상북도,의성군,18277,1080,12614,190
2021,1,경상북도,청도군,16736,775,8261,153
2021,1,경상북도,청송군,9478,572,5923,62
2021,1,경상북도,칠곡군,53897,2564,13842,382
2021,1,경상북도,포항시,221307,7953,40822,2573
2021,1,광주광역시,광산구,166743,5496,33970,1283
2021,1,광주광역시,남구,79912,2760,10294,297
2021,1,광주광역시,동구,37786,1359,4677,98
2021,1,광주광역시,북구,165400,5817,26713,867
2021,1,광주광역시,서구,127766,4453,17039,470
2021,1,대구광역시,남구,48554,1902,7496,160
2021,1,대구광역시,달서구,241883,6586,36029,881
2021,1,대구광역시,달성군,112631,3863,22085,526
2021,1,대구광역시,동구,136676,4660,22965,683
2021,1,대구광역시,북구,170613,5185,33301,736
2021,1,대구광역시,서구,58178,2304,12814,242
2021,1,대구광역시,수성구,197731,4469,18447,379
2021,1,대구광역시,중구,62358,1473,5053,72
2021,1,대전광역시,대덕구,71057,3295,18017,615
2021,1,대전광역시,동구,76362,3341,15075,435
2021,1,대전광역시,서구,186064,5686,21432,742
2021,1,대전광역시,유성구,161636,4288,16932,613
2021,1,대전광역시,중구,83393,3679,15069,419
2021,1,부산광역시,강서구,62210,2101,17007,715
2021,1,부산광역시,금정구,70866,3116,13626,811
2021,1,부산광역시,기장군,66735,2934,11657,348
2021,1,부산광역시,남구,81147,3061,13883,1743
2021,1,부산광역시,동구,44161,1221,6301,1164
2021,1,부산광역시,동래구,81699,3057,11916,359
2021,1,부산광역시,부산진구,123632,3835,16029,644
2021,1,부산광역시,북구,86335,2991,14085,343
2021,1,부산광역시,사상구,68867,2974,17312,517
2021,1,부산광역시,사하구,94484,3592,15347,419
2021,1,부산광역시,서구,24687,1115,4583,126
2021,1,부산광역시,수영구,90692,2543,7290,483
2021,1,부산광역시,연제구,87353,3073,10517,838
2021,1,부산광역시,영도구,26889,1458,4559,92
2021,1,부산광역시,중구,26221,657,7126,1770
2021,1,부산광역시,해운대구,157438,4185,15569,680
2021,1,서울특별시,강남구,215289,5397,15612,423
2021,1,서울특별시,강동구,130204,4491,15301,356
2021,1,서울특별시,강북구,63170,3501,8911,180
2021,1,서울특별시,강서구,176451,7006,20970,500
2021,1,서울특별시,관악구,102771,4253,11985,297
2021,1,서울특별시,광진구,83141,3090,12238,287
2021,1,서울특별시,구로구,121723,5684,17201,421
2021,1,서울특별시,금천구,71366,3915,13155,190
2021,1,서울특별시,노원구,134478,5091,12880,379
2021,1,서울특별시,도봉구,81326,3457,10713,271
2021,1,서울특별시,동대문구,81925,3425,12520,203
2021,1,서울특별시,동작구,93737,2976,8473,361
2021,1,서울특별시,마포구,103495,3707,11921,319
2021,1,서울특별시,서대문구,78040,3052,8185,292
2021,1,서울특별시,서초구,158049,4556,16368,381
2021,1,서울특별시,성동구,91924,3455,10621,218
2021,1,서울특별시,성북구,104708,4749,10824,202
2021,1,서울특별시,송파구,207964,6494,30920,511
2021,1,서울특별시,양천구,131079,4695,14891,609
2021,1,서울특별시,영등포구,120892,4770,19599,1217
2021,1,서울특별시,용산구,69889,2280,6738,126
2021,1,서울특별시,은평구,114490,4709,12753,322
2021,1,서울특별시,종로구,41223,3702,5137,192
2021,1,서울특별시,중구,42812,3231,7018,233
2021,1,서울특별시,중랑구,94337,4379,15104,476
2021,1,세종특별자치시,세종시,154658,4358,16667,506
2021,1,울산광역시,남구,137409,3770,19770,844
2021,1,울산광역시,동구,56391,1613,4816,137
2021,1,울산광역시,북구,103778,2729,11822,483
2021,1,울산광역시,울주군,102041,3797,23462,1174
2021,1,울산광역시,중구,88765,2595,11439,389
2021,1,인천광역시,강화군,59549,3247,10053,170
2021,1,인천광역시,계양구,284764,7515,24190,679
2021,1,인천광역시,남동구,264714,8432,33178,860
2021,1,인천광역시,동구,20302,1080,5798,370
2021,1,인천광역시,미추홀구,143431,5292,21925,1254
2021,1,인천광역시,부평구,203799,6910,27032,630
2021,1,인천광역시,서구,206264,8586,36167,1019
2021,1,인천광역시,연수구,181819,4515,14666,636
2021,1,인천광역시,옹진군,8006,637,3747,47
2021,1,인천광역시,중구,55171,2679,16815,2056
2021,1,전라남도,강진군,11791,788,7202,114
2021,1,전라남도,고흥군,19160,1360,12283,102
2021,1,전라남도,곡성군,9696,564,5226,101
2021,1,전라남도,광양시,67154,2718,16818,1964
2021,1,전라남도,구례군,9103,555,4193,65
2021,1,전라남도,나주시,48155,2554,16890,511
2021,1,전라남도,담양군,18475,1158,8678,249
2021,1,전라남도,목포시,80974,3743,16045,584
2021,1,전라남도,무안군,34135,1809,11795,204
2021,1,전라남도,보성군,36593,1411,8071,110
2021,1,전라남도,순천시,115808,4427,24432,1144
2021,1,전라남도,신안군,57400,2046,9109,166
2021,1,전라남도,여수시,108635,4637,24639,1116
2021,1,전라남도,영광군,19095,1005,8405,108
2021,1,전라남도,영암군,29935,1520,11239,273
2021,1,전라남도,완도군,15414,972,9678,112
2021,1,전라남도,장성군,18146,944,8598,181
2021,1,전라남도,장흥군,12681,746,7231,82
2021,1,전라남도,진도군,10461,682,6199,55
2021,1,전라남도,함평군,38318,1294,6461,75
