year,month,sido,gugun,age_group,population
2021,1,강원특별자치도,강릉시,18-29세,29498
2021,1,강원특별자치도,강릉시,30-39세,21660
2021,1,강원특별자치도,강릉시,40-49세,32330
2021,1,강원특별자치도,강릉시,50-59세,36624
2021,1,강원특별자치도,강릉시,60세이상,65332
2021,1,강원특별자치도,고성군,18-29세,3245
2021,1,강원특별자치도,고성군,30-39세,2224
2021,1,강원특별자치도,고성군,40-49세,3043
2021,1,강원특별자치도,고성군,50-59세,4786
2021,1,강원특별자치도,고성군,60세이상,10930
2021,1,강원특별자치도,동해시,18-29세,11361
2021,1,강원특별자치도,동해시,30-39세,9143
2021,1,강원특별자치도,동해시,40-49세,14490
2021,1,강원특별자치도,동해시,50-59세,15631
2021,1,강원특별자치도,동해시,60세이상,26409
2021,1,강원특별자치도,삼척시,18-29세,8385
2021,1,강원특별자치도,삼척시,30-39세,5734
2021,1,강원특별자치도,삼척시,40-49세,8884
2021,1,강원특별자치도,삼척시,50-59세,11300
2021,1,강원특별자치도,삼척시,60세이상,23043
2021,1,강원특별자치도,속초시,18-29세,10702
2021,1,강원특별자치도,속초시,30-39세,9166
2021,1,강원특별자치도,속초시,40-49세,12463
2021,1,강원특별자치도,속초시,50-59세,15134
2021,1,강원특별자치도,속초시,60세이상,23628
2021,1,강원특별자치도,양구군,18-29세,3567
2021,1,강원특별자치도,양구군,30-39세,2524
2021,1,강원특별자치도,양구군,40-49세,2544
2021,1,강원특별자치도,양구군,50-59세,3536
2021,1,강원특별자치도,양구군,60세이상,6742
2021,1,강원특별자치도,양양군,18-29세,2837
2021,1,강원특별자치도,양양군,30-39세,2336
2021,1,강원특별자치도,양양군,40-49세,3522
2021,1,강원특별자치도,양양군,50-59세,5056
2021,1,강원특별자치도,양양군,60세이상,11437
2021,1,강원특별자치도,영월군,18-29세,4030
2021,1,강원특별자치도,영월군,30-39세,2771
2021,1,강원특별자치도,영월군,40-49세,4571
2021,1,강원특별자치도,영월군,50-59세,7326
2021,1,강원특별자치도,영월군,60세이상,16134
2021,1,강원특별자치도,원주시,18-29세,53328
2021,1,강원특별자치도,원주시,30-39세,45234
2021,1,강원특별자치도,원주시,40-49세,57160
2021,1,강원특별자치도,원주시,50-59세,60832
2021,1,강원특별자치도,원주시,60세이상,81729
2021,1,강원특별자치도,인제군,18-29세,4598
